ingredient,count,used %,effects,main effect
pinus-banksiana-bark-extract,26,0.03,[''],
polianthes-tuberosa-polysaccharide,26,0.03,[''],
hydrogenated-olive-oil-decyl-esters,26,0.03,[''],
deoxyadenosine,26,0.03,[''],
hydroxypropyltrimonium-lemon-protein,26,0.03,['moisturizer/humectant'],moisturizer/humectant
c8-22-alkyl-acrylates-methacrylic-acid-crosspolymer,26,0.03,[''],
prunella-vulgaris-leaf-extract,26,0.03,[''],
origanum-vulgare-extract,25,0.03,[''],
aspergillus-rice-ferment-extract,25,0.03,['moisturizer/humectant'],moisturizer/humectant
harpagophytum-procumbens-root-extract,25,0.03,[''],
gardenia-taitensis-flower,25,0.03,[''],
ceramide-4,25,0.03,[''],
vinyl-caprolactam-vp-dimethylaminoethyl-methacrylate-copolymer,25,0.03,[''],
ahnfeltiopsis-concinna-extract,25,0.03,[''],
undecyl-alcohol,25,0.03,"['emollient', 'viscosity controlling']",emollient
palmitoyl-sh-tripeptide-5-norisoleucyl-sh-nonapeptide-1,25,0.03,[''],
sh-pentapeptide-19,25,0.03,[''],
ocimum-basilicum-flower-leaf-stem-extract,25,0.03,[''],
glycereth-7-caprylate-caprate,25,0.03,"['emulsifying', 'surfactant/cleansing']",emulsifying
ethylhexyl-benzoate,25,0.03,"['emollient', 'solvent']",emollient
viola-odorata-flower-leaf-extract,25,0.03,[''],
litchi-chinensis-seed-extract,25,0.03,[''],
cetearyl-phosphate,25,0.03,[''],
silicone-quaternium-3,25,0.03,[''],
polyquaternium-44,25,0.03,[''],
potassium-magnesium-aspartate,25,0.03,['buffering'],buffering
medicago-sativa-seed-extract,25,0.03,[''],
magnesium-oleth-sulfate,25,0.03,['surfactant/cleansing'],surfactant/cleansing
narcissus-pseudo-narcissus-flower-extract,25,0.03,[''],
bletilla-striata-root-extract,25,0.03,[''],
verbascum-thapsus-extract,25,0.03,[''],
rosa-gallica-flower-powder,25,0.03,[''],
acetyl-glycyl-beta-alanine,25,0.03,['skin brightening'],skin brightening
stearyl-citrate,25,0.03,['emollient'],emollient
ananas-sativus-fruit-juice,25,0.03,[''],
olive-oil-glycereth-8-esters,25,0.03,"['emollient', 'emulsifying']",emollient
ppg-5-ceteth-10-phosphate,25,0.03,"['emulsifying', 'surfactant/cleansing']",emulsifying
olea-europaea-husk-oil,25,0.03,[''],
rubus-suavissimus-leaf-extract,25,0.03,[''],
carica-papaya-fruit-water,25,0.03,[''],
sideritis-scardica-flower-leaf-stem-extract,25,0.03,['antioxidant'],antioxidant
limonium-gerberi-extract,25,0.03,[''],
sorbitan-sesquicaprylate,25,0.03,"['surfactant/cleansing', 'viscosity controlling']",surfactant/cleansing
ammonium-cocoyl-isethionate,25,0.03,['surfactant/cleansing'],surfactant/cleansing
onopordum-acanthium-flower-leaf-stem-extract,25,0.03,[''],
geranyl-acetate,25,0.03,['perfuming'],perfuming
maranta-arundinacea-root-extract,25,0.03,[''],
acrylamide-sodium-acrylate-copolymer,25,0.03,[''],
acer-rubrum-bark-extract,25,0.03,[''],
boswellia-neglecta-resin-oil,25,0.03,['emollient'],emollient
bambusa-arundinacea-juice,25,0.03,['abrasive/scrub'],abrasive/scrub
retinyl-linoleate,25,0.03,[''],
opuntia-ficus-indica-callus-culture-extract,25,0.03,"['antioxidant', 'moisturizer/humectant']",antioxidant
polyurethane-34,25,0.03,[''],
glyceryl-myristate,25,0.03,"['emollient', 'emulsifying']",emollient
cyclotetrapeptide-24-aminocyclohexane-carboxylate,25,0.03,['antioxidant'],antioxidant
paeonia-lactiflora-bark-sap-extract,25,0.03,[''],
steareth-6,25,0.03,"['emulsifying', 'surfactant/cleansing']",emulsifying
citrus-limon-seed-oil,25,0.03,['perfuming'],perfuming
deoxycytidine,25,0.03,[''],
deoxyguanosine,25,0.03,[''],
pyridoxal-5-phosphate,25,0.03,[''],
geranium-sibiricum-extract,25,0.03,['moisturizer/humectant'],moisturizer/humectant
docosahexaenoic-acid,25,0.03,[''],
achillea-asiatica-flower-leaf-stem-extract,25,0.03,['moisturizer/humectant'],moisturizer/humectant
amaranthus-caudatus-seed-oil,24,0.03,['emollient'],emollient
rosa-canina-flower-oil,24,0.03,['emollient'],emollient
sea-salt-extract,24,0.03,[''],
momordica-charantia-fruit-extract,24,0.03,[''],
nelumbo-nucifera-root-water,24,0.03,[''],
glycine-soja-lipids,24,0.03,[''],
adenium-obesum-leaf-cell-extract,24,0.03,[''],
polysorbate-21,24,0.03,"['emulsifying', 'surfactant/cleansing']",emulsifying
polyglyceryl-4-olivate,24,0.03,['emulsifying'],emulsifying
c12-15-alcohols,24,0.03,"['emollient', 'viscosity controlling']",emollient
hydrogenated-methyl-abietate,24,0.03,['viscosity controlling'],viscosity controlling
tocopheryl-nicotinate,24,0.03,['antioxidant'],antioxidant
sodium-oxide,24,0.03,['buffering'],buffering
eugenia-caryophyllus-bud-extract,24,0.03,['perfuming'],perfuming
0-cymen-5-ol,24,0.03,[''],
methoxy-peg-ppg-7-3-aminopropyl-dimethicone,24,0.03,[''],
chenopodium-quinoa-seed,24,0.03,['abrasive/scrub'],abrasive/scrub
echinacea-angustifolia-root-extract,24,0.03,[''],
trigonella-foenum-graecum-extract,24,0.03,[''],
polymethylsilsesquioxane-silica-crosspolymer,24,0.03,[''],
lactobacillus-lemon-peel-ferment-extract,24,0.03,[''],
wasabia-japonica-root-extract,24,0.03,[''],
lentinus-edodes-mycelium-extract,24,0.03,['skin brightening'],skin brightening
eucalyptol,24,0.03,['perfuming'],perfuming
actinidia-deliciosa-fruit-extract,24,0.03,[''],
potassium-thiocyanate,24,0.03,[''],
amino-acids,24,0.03,[''],
c10-40-isoalkylamidopropylethyldimonium-ethosulfate,24,0.03,[''],
pyrus-malus-leaf-extract,24,0.03,[''],
hydrogenated-styrene-butadiene-copolymer,24,0.03,['viscosity controlling'],viscosity controlling
nonfat-dry-milk,24,0.03,[''],
ethylene-glycol-distearate,24,0.03,[''],
perfluoroperhydrophenanthrene,24,0.03,['solvent'],solvent
citrus-grandis-fruit-water,24,0.03,['perfuming'],perfuming
sasa-veitchii-leaf-extract,24,0.03,[''],
gamma-undecalactone,24,0.03,['perfuming'],perfuming
propanediol-dicaprylate-caprate,24,0.03,['emollient'],emollient
ulmus-fulva-bark-extract,24,0.03,['moisturizer/humectant'],moisturizer/humectant
va-butyl-maleate-isobornyl-acrylate-copolymer,24,0.03,[''],
colloidal-oatmeal-extract,24,0.03,['moisturizer/humectant'],moisturizer/humectant
alginic-acid,24,0.03,['viscosity controlling'],viscosity controlling
ictasol,24,0.03,['antimicrobial/antibacterial'],antimicrobial/antibacterial
albatrellus-ovinus-extract,24,0.03,[''],
lactobacillus-soybean-extract-ferment-filtrate,24,0.03,[''],
oligopeptide-34,24,0.03,[''],
propylene-glycol-isostearate,24,0.03,['surfactant/cleansing'],surfactant/cleansing
corydalis-turtschaninovii-root-extract,24,0.03,[''],
benzyl-nicotinate,24,0.03,[''],
ethylene-va-copolymer,24,0.03,[''],
potassium-lauroyl-wheat-amino-acids,24,0.03,['surfactant/cleansing'],surfactant/cleansing
viola-odorata-extract,24,0.03,[''],
eryngium-maritimum-callus-culture-filtrate,24,0.03,[''],
ethyl-stearate,24,0.03,"['emollient', 'perfuming']",emollient
ethyl-palmitate,24,0.03,"['emollient', 'perfuming']",emollient
sodium-gluceptate,24,0.03,['chelating'],chelating
propyl-alcohol,24,0.03,['solvent'],solvent
larix-sibirica-needle-extract,24,0.03,['moisturizer/humectant'],moisturizer/humectant
laminaria-algae-extract,23,0.03,['moisturizer/humectant'],moisturizer/humectant
taraxacum-officinale-root-extract,23,0.03,[''],
saponaria-pumila-callus-culture-extract,23,0.03,[''],
sh-polypeptide-2,23,0.03,[''],
ulmus-campestris-bark-extract,23,0.03,[''],
asarum-sieboldi-root-extract,23,0.03,[''],
cichorium-intybus-leaf-extract,23,0.03,[''],
eucalyptus-citriodora-oil,23,0.03,['perfuming'],perfuming
hyssopus-officinalis-extract,23,0.03,[''],
zanthoxylum-schinifolium-leaf-extract,23,0.03,[''],
macrocystis-pyrifera,23,0.03,['viscosity controlling'],viscosity controlling
potassium-pca,23,0.03,['moisturizer/humectant'],moisturizer/humectant
sodium-riboflavin-phosphate,23,0.03,[''],
capsanthin-capsorubin,23,0.03,['colorant'],colorant
aluminum-calcium-sodium-silicate,23,0.03,[''],
polyglyceryl-2-sesquiisostearate,23,0.03,['emulsifying'],emulsifying
magnesium-laureth-8-sulfate,23,0.03,['surfactant/cleansing'],surfactant/cleansing
hydrolyzed-casein,23,0.03,[''],
palmitoyl-carnitine,23,0.03,[''],
oryza-sativa-callus-culture-extract,23,0.03,[''],
poterium-officinale-root-extract,23,0.03,['antimicrobial/antibacterial'],antimicrobial/antibacterial
cyperus-esculentus-root-oil,23,0.03,[''],
babassu-oil-polyglyceryl-4-esters,23,0.03,[''],
peg-30-phytosterol,23,0.03,['emulsifying'],emulsifying
myrica-cerifera-fruit-wax,23,0.03,"['emollient', 'viscosity controlling']",emollient
hydroxyphenoxy-propionic-acid,23,0.03,['skin brightening'],skin brightening
magnesium-carbonate-hydroxide,23,0.03,"['buffering', 'viscosity controlling']",buffering
sodium-polygamma-glutamate,23,0.03,['viscosity controlling'],viscosity controlling
hydrolyzed-corallina-officinalis-extract,23,0.03,[''],
pinus-cembra-wood-extract,23,0.03,[''],
ci-75130,23,0.03,['colorant'],colorant
citrus-clementina-fruit-extract,23,0.03,[''],
thiazolylalanine,23,0.03,[''],
essence,23,0.03,[''],
ci-15880,23,0.03,['colorant'],colorant
rosa-davurica-bud-extract,23,0.03,['antioxidant'],antioxidant
sodium-olivoyl-glutamate,23,0.03,['surfactant/cleansing'],surfactant/cleansing
volcanic-sand,23,0.03,[''],
bacopa-monnieri-extract,23,0.03,[''],
palmitamide-mea,23,0.03,['viscosity controlling'],viscosity controlling
cistus-monspeliensis-extract,23,0.03,[''],
viscum-album-fruit-extract,23,0.03,['soothing'],soothing
beta-vulgaris-extract,23,0.03,[''],
argania-spinosa-leaf-extract,23,0.03,[''],
vinca-major-extract,23,0.03,[''],
hydroxypropylgluconamide,23,0.03,['moisturizer/humectant'],moisturizer/humectant
coriandrum-sativum-fruit-leaf-extract,23,0.03,[''],
peg-45-dodecyl-glycol-copolymer,23,0.03,[''],
dimethicone-divinyldimethicone-silsesquioxane-crosspolymer,23,0.03,"['moisturizer/humectant', 'viscosity controlling']",moisturizer/humectant
ethyl-olivate,23,0.03,['emollient'],emollient
gnaphalium-leontopodium-flower-extract,23,0.03,[''],
phalaenopsis-amabilis-extract,23,0.03,['moisturizer/humectant'],moisturizer/humectant
amp-acrylates-copolymer,23,0.03,[''],
myristamidopropyl-pg-dimonium-chloride-phosphate,23,0.03,[''],
phytosphingosine-hcl,23,0.03,[''],
nylon-12-fluorescent-brightener-230-salt,23,0.03,[''],
vaccinium-myrtillus-fruit-juice,23,0.03,[''],
vitis-vinifera-callus-culture-extract,23,0.03,[''],
resorcinol,23,0.03,"['antioxidant', 'perfuming']",antioxidant
hematite-extract,23,0.03,[''],
isodonis-japonicus-leaf-stalk-extract,23,0.03,[''],
cystoseira-tamariscifolia-extract,23,0.03,['skin brightening'],skin brightening
picea-mariana-bark-extract,23,0.03,['antioxidant'],antioxidant
lamium-album-flower-leaf-stem-extract,23,0.03,[''],
aphanothece-sacrum-exopolysaccharides,23,0.03,['viscosity controlling'],viscosity controlling
isobutyl-methyl-tetrahydropyranol,23,0.03,[''],
ppg-3-dipivalate,23,0.03,[''],
peg-ppg-18-4-copolymer,22,0.03,['solvent'],solvent
horse-fat,22,0.03,[''],
nylon-66,22,0.03,['viscosity controlling'],viscosity controlling
cannabis-sativa-flower-leaf-stem-extract,22,0.03,['antioxidant'],antioxidant
chrysanthemum-sibiricum-extract,22,0.03,['antimicrobial/antibacterial'],antimicrobial/antibacterial
mentha-haplocalix-extract,22,0.03,[''],
olivoyl-hydrolyzed-wheat-protein,22,0.03,['surfactant/cleansing'],surfactant/cleansing
alpinia-officinarum-root-extract,22,0.03,[''],
citrus-aurantium-bergamia-leaf-oil,22,0.03,[''],
angelica-archangelica-root-oil,22,0.03,['perfuming'],perfuming
dimethylacrylamide-acrylic-acid-polystyrene-ethyl-methacrylate-copolymer,22,0.03,['viscosity controlling'],viscosity controlling
aluminum-silicate,22,0.03,"['abrasive/scrub', 'colorant']",abrasive/scrub
poloxamer-182,22,0.03,"['emulsifying', 'surfactant/cleansing']",emulsifying
hoya-lacunosa-flower-extract,22,0.03,[''],
rheum-palmatum-root-stalk-extract,22,0.03,[''],
angelica-tenuissima-root-extract,22,0.03,[''],
oligopeptide-6,22,0.03,[''],
cylindrotheca-fusiformis-extract,22,0.03,['antioxidant'],antioxidant
lactobacillus-tomato-fruit-ferment-extract,22,0.03,[''],
balanites-aegyptiaca-fruit-extract,22,0.03,[''],
acetum,22,0.03,[''],
quaternium-33,22,0.03,[''],
cryptomeria-japonica-bud-extract,22,0.03,[''],
ledum-palustre-extract,22,0.03,[''],
glycyrrhiza-glabra-rhizome-root,22,0.03,"['emollient', 'moisturizer/humectant', 'soothing']",emollient
echinacea-angustifolia-leaf-extract,22,0.03,"['moisturizer/humectant', 'soothing']",moisturizer/humectant
hexyldecyl-myristoyl-methylaminopropionate,22,0.03,['emollient'],emollient
succinoyl-atelocollagen,22,0.03,[''],
peg-10-dimethicone-crosspolymer,22,0.03,['viscosity controlling'],viscosity controlling
vinyl-dimethicone-crosspolymer,22,0.03,[''],
syzygium-leuhmanii-fruit-extract,22,0.03,"['antioxidant', 'moisturizer/humectant']",antioxidant
resveratrol-dimethyl-ether,22,0.03,['antioxidant'],antioxidant
pterocarpus-marsupium-bark-extract,22,0.03,[''],
pikea-robusta-extract,22,0.03,['antioxidant'],antioxidant
silicone-quaternium-8,22,0.03,[''],
rubus-idaeus-seed-extract,22,0.03,[''],
prunus-amygdalus-dulcis-flower-extract,22,0.03,['moisturizer/humectant'],moisturizer/humectant
hydrogenated-cottonseed-oil,22,0.03,['emollient'],emollient
nelumbo-nucifera-germ-extract,22,0.03,[''],
hydrolyzed-rna,22,0.03,[''],
polianthes-tuberosa-extract,22,0.03,['viscosity controlling'],viscosity controlling
saccharomyces-lysate,22,0.03,[''],
zinc-myristate,22,0.03,['viscosity controlling'],viscosity controlling
sh-polypeptide-8,22,0.03,['moisturizer/humectant'],moisturizer/humectant
olea-europaea-seed-powder,22,0.03,['abrasive/scrub'],abrasive/scrub
peg-180,22,0.03,"['moisturizer/humectant', 'solvent']",moisturizer/humectant
lactuca-scariola-sativa-leaf-extract,22,0.03,[''],
glyceryl-tribehenate-isostearate-eicosandioate,22,0.03,['emollient'],emollient
canadian-colloidal-clay,22,0.03,[''],
benzophenone,22,0.03,[''],
yucca-glauca-root-extract,22,0.03,[''],
ethylenediamine-stearyl-dimer-dilinoleate-copolymer,22,0.03,[''],
canarium-luzonicum-gum-oil,22,0.03,['perfuming'],perfuming
polymer-synthetic-spheres,22,0.03,[''],
melissa-officinalis-flower-leaf-stem-extract,22,0.03,['soothing'],soothing
opuntia-tuna-extract,22,0.03,[''],
methyl-glucose-dioleate,22,0.03,"['emollient', 'moisturizer/humectant']",emollient
sucrose-acetate-isobutyrate,22,0.03,[''],
acrylates-carbamate-copolymer,22,0.03,[''],
avena-sativa-seed-extract,22,0.03,[''],
laurylpyridinium-chloride,22,0.03,"['antimicrobial/antibacterial', 'surfactant/cleansing']",antimicrobial/antibacterial
acetyl-hexapeptide-49,22,0.03,[''],
isostearyl-hydroxystearate,22,0.03,['emollient'],emollient
palmitoyl-isoleucine,22,0.03,[''],
peg-7-caprylic-capric-glycerides,22,0.03,['emulsifying'],emulsifying
phosphate-buffered-saline,22,0.03,['solvent'],solvent
polyquaternium-61,22,0.03,[''],
calcium-oxide,22,0.03,['buffering'],buffering
glyceryl-undecyl-dimethicone,22,0.03,[''],
euterpe-oleracea-sterols,22,0.03,[''],
neohesperidin-dihydrochalcone,22,0.03,['perfuming'],perfuming
aniba-rosaeodora-wood-extract,22,0.03,['perfuming'],perfuming
hydrolyzed-carrot-protein,22,0.03,[''],
hydrolyzed-kale-protein,22,0.03,[''],
hydrolyzed-lemon-protein,22,0.03,[''],
spilanthes-acmella-flower-leaf-stem-extract,22,0.03,['antimicrobial/antibacterial'],antimicrobial/antibacterial
ethylhexyl-dimethyl-paba,22,0.03,['sunscreen'],sunscreen
aluminum-distearate,22,0.03,['viscosity controlling'],viscosity controlling
portulaca-oleracea-flower-leaf-stem-extract,22,0.03,['antioxidant'],antioxidant
vanilla-planifolia-fruit-water,22,0.03,[''],
harungana-madagascariensis-extract,22,0.03,[''],
ribes-nigrum-bud-extract,22,0.03,['perfuming'],perfuming
ononis-spinosa-root-extract,22,0.03,['soothing'],soothing
calluna-vulgaris-flower-extract,22,0.03,[''],
isopropyl-jojobate,22,0.03,['emollient'],emollient
nephrite-powder,22,0.03,['abrasive/scrub'],abrasive/scrub
myristoyl-tripeptide-31,22,0.03,[''],
juniperus-sibirica-needle-extract,22,0.03,['moisturizer/humectant'],moisturizer/humectant
etocrylene,22,0.03,[''],
juglans-regia-shell-extract,21,0.03,[''],
silkworm-cocoon-extract,21,0.03,['moisturizer/humectant'],moisturizer/humectant
tricalcium-phosphate,21,0.03,['abrasive/scrub'],abrasive/scrub
palmitoyl-sh-octapeptide-24-amide,21,0.03,[''],
mentha-suaveolens-leaf-extract,21,0.03,[''],
simmondsia-chinensis-seed-wax,21,0.03,['viscosity controlling'],viscosity controlling
tilia-cordata-flower-water,21,0.03,[''],
laureth-6-carboxylic-acid,21,0.03,['surfactant/cleansing'],surfactant/cleansing
marrubium-vulgare-meristem-cell-culture,21,0.03,[''],
pinus-strobus-bark-extract,21,0.03,[''],
lamium-album-flower-extract,21,0.03,[''],
acyl-coenzyme-a-desaturase,21,0.03,[''],
lactobacillus-milk-ferment-filtrate,21,0.03,[''],
asparagus-officinalis-stem-extract,21,0.03,[''],
prunus-armeniaca-juice,21,0.03,['moisturizer/humectant'],moisturizer/humectant
microcitrus-australis-fruit-extract,21,0.03,[''],
lactoferrin,21,0.03,[''],
mentha-spicata-flower-leaf-stem-extract,21,0.03,[''],
glycerylamidoethyl-methacrylate-stearyl-methacrylate-copolymer,21,0.03,['moisturizer/humectant'],moisturizer/humectant
algae-exopolysaccharides,21,0.03,['moisturizer/humectant'],moisturizer/humectant
peg-12-dimethicone-crosspolymer,21,0.03,"['emulsifying', 'viscosity controlling']",emulsifying
peg-10-soy-sterol,21,0.03,['emulsifying'],emulsifying
pyrus-cydonia-fruit-extract,21,0.03,[''],
c20-40-pareth-10,21,0.03,"['emulsifying', 'surfactant/cleansing']",emulsifying
hexapeptide-3,21,0.03,[''],
aphanothece-sacrum-polysaccharide,21,0.03,['viscosity controlling'],viscosity controlling
triisodecyl-trimellitate,21,0.03,['emollient'],emollient
tetradecene,21,0.03,"['emollient', 'solvent', 'viscosity controlling']",emollient
sodium-polyphosphate,21,0.03,['chelating'],chelating
iris-pallida-leaf-cell-extract,21,0.03,['antioxidant'],antioxidant
ocimum-tenuiflorum-extract,21,0.03,[''],
ci-45430,21,0.03,['colorant'],colorant
curcumin,21,0.03,"['antioxidant', 'colorant']",antioxidant
zea-mays-kernel-meal,21,0.03,['abrasive/scrub'],abrasive/scrub
polyquaternium-72,21,0.03,[''],
acetone,21,0.03,['solvent'],solvent
laminaria-hyperborea-extract,21,0.03,[''],
c12-14-isoparaffin,21,0.03,['solvent'],solvent
tricaprylyl-citrate,21,0.03,['emollient'],emollient
basic-red-76,21,0.03,[''],
trisodium-sulfosuccinate,21,0.03,"['buffering', 'chelating', 'surfactant/cleansing']",buffering
benzethonium-chloride,21,0.03,"['antimicrobial/antibacterial', 'preservative', 'surfactant/cleansing']",antimicrobial/antibacterial
benzophenone-9,21,0.03,[''],
raphanus-sativus-seed-oil,21,0.03,['emollient'],emollient
c30-38-olefin-isopropyl-maleate-ma-copolymer,21,0.03,"['emulsifying', 'surfactant/cleansing', 'viscosity controlling']",emulsifying
glycereth-7,21,0.03,"['moisturizer/humectant', 'viscosity controlling']",moisturizer/humectant
hydroxyectoin,21,0.03,"['buffering', 'emollient']",buffering
retinyl-retinoate,21,0.03,['cell-communicating ingredient'],cell-communicating ingredient
aluminum-chloride,21,0.03,[''],
rhus-semialata-extract,21,0.03,[''],
zinc-laurate,21,0.03,['viscosity controlling'],viscosity controlling
betula-alba-leaf-water,21,0.03,[''],
saururus-chinensis-leaf-root-extract,21,0.03,"['antimicrobial/antibacterial', 'antioxidant', 'emollient']",antimicrobial/antibacterial
hdi-ppg-polycaprolactone-crosspolymer,21,0.03,[''],
chrysanthemum-zawadskii-extract,21,0.03,[''],
sodium-oleoyl-sarcosinate,21,0.03,[''],
argan-oil-polyglyceryl-6-esters,21,0.03,"['emollient', 'emulsifying', 'surfactant/cleansing']",emollient
nymphaea-odorata-root-extract,21,0.03,[''],
ppg-2-isoceteth-20-acetate,21,0.03,['emulsifying'],emulsifying
equisetum-giganteum-extract,21,0.03,[''],
mucuna-birdwoodiana-stem-extract,21,0.03,[''],
dicocodimonium-chloride,21,0.03,"['emulsifying', 'surfactant/cleansing']",emulsifying
pinus-densiflora-extract,21,0.03,['antioxidant'],antioxidant
octafluoropentyl-methacrylate,21,0.03,[''],
cuscuta-japonica-seed-extract,21,0.03,[''],
flavocetraria-nivalis-extract,21,0.03,['moisturizer/humectant'],moisturizer/humectant
potassium-olivoyl-pca,20,0.03,"['surfactant/cleansing', 'moisturizer/humectant']",surfactant/cleansing
peg-45,20,0.03,"['moisturizer/humectant', 'solvent']",moisturizer/humectant
echinacea-pallida-extract,20,0.03,['moisturizer/humectant'],moisturizer/humectant
capparis-spinosa-fruit-extract,20,0.03,[''],
acorus-gramineus-root-stem-extract,20,0.03,[''],
potassium-iodide,20,0.03,['antimicrobial/antibacterial'],antimicrobial/antibacterial
palmitoyl-hexapeptide-52,20,0.03,['cell-communicating ingredient'],cell-communicating ingredient
hydroxystearyl-alcohol,20,0.03,[''],
hydroxystearyl-glucoside,20,0.03,[''],
oxidized-corn-oil,20,0.03,[''],
glycereth-18-ethylhexanoate,20,0.03,[''],
punica-granatum-bark-extract,20,0.03,[''],
potassium-olivoyl-hydrolyzed-wheat-protein,20,0.03,['surfactant/cleansing'],surfactant/cleansing
polyester-11,20,0.03,[''],
pinus-sibirica-needle-extract,20,0.03,['moisturizer/humectant'],moisturizer/humectant
polysilicone-13,20,0.03,[''],
tripeptide-3,20,0.03,[''],
bisamino-peg-ppg-41-3-aminoethyl-pg-propyl-dimethicone,20,0.03,[''],
glycine-max-polypeptide,20,0.03,[''],
palmitoyl-hexapeptide-14,20,0.03,['cell-communicating ingredient'],cell-communicating ingredient
daucus-carota-sativa-root-water,20,0.03,[''],
sodium-acrylic-acid-ma-copolymer,20,0.03,['viscosity controlling'],viscosity controlling
pentasodium-triphosphate,20,0.03,"['buffering', 'chelating']",buffering
solanum-lycopersicum-leaf-cell-culture-extract,20,0.03,[''],
gelidium-sesquipedale-extract,20,0.03,[''],
atractylodes-macrocephala-root-extract,20,0.03,[''],
algae-oligosaccharides,20,0.03,[''],
mentha-aquatica-leaf-extract,20,0.03,[''],
colour,20,0.03,[''],
sodium-laneth-40-maleate-styrene-sulfonate-copolymer,20,0.03,[''],
gossypium-hirsutum-extract,20,0.03,[''],
glyceryl-olivate,20,0.03,"['emollient', 'emulsifying', 'surfactant/cleansing']",emollient
heptanol,20,0.03,['perfuming'],perfuming
helichrysum-arenarium-flower-extract,20,0.03,[''],
hydrastis-canadensis-root-extract,20,0.03,[''],
poloxamer-235,20,0.03,"['emulsifying', 'surfactant/cleansing']",emulsifying
coriandrum-sativum-extract,20,0.03,[''],
boric-acid,20,0.03,"['antimicrobial/antibacterial', 'buffering']",antimicrobial/antibacterial
tea-sulfate,20,0.03,['buffering'],buffering
peg-50-hydrogenated-castor-oil-isostearate,20,0.03,"['emulsifying', 'viscosity controlling']",emulsifying
phormium-tenax-extract,20,0.03,[''],
polyurethane-11,20,0.03,[''],
magnolia-liliflora-bud-extract,20,0.03,[''],
sodium-hydroxypropylsulfonate-laurylglucoside-crosspolymer,20,0.03,"['surfactant/cleansing', 'emulsifying']",surfactant/cleansing
c20-40-alkyl-stearate,20,0.03,['viscosity controlling'],viscosity controlling
hydrolyzed-eruca-sativa-leaf,20,0.03,"['antioxidant', 'emollient']",antioxidant
methyl-lactate,20,0.03,"['perfuming', 'solvent']",perfuming
herbal-infusion,20,0.03,[''],
isopropanolamine,20,0.03,['buffering'],buffering
morinda-citrifolia-leaf-extract,20,0.03,[''],
isopropyl-lanolate,20,0.03,"['emollient', 'emulsifying']",emollient
castor-isostearate-succinate,20,0.03,[''],
peg-25-hydrogenated-castor-oil,20,0.03,"['emulsifying', 'surfactant/cleansing']",emulsifying
dicocoylethyl-hydroxyethylmonium-methosulfate,20,0.03,[''],
gamma-octalactone,20,0.03,[''],
synthetic-sapphire,20,0.03,[''],
hordeum-vulgare-leaf-extract,20,0.03,[''],
schinus-terebinthifolius-seed-extract,20,0.03,[''],
aleuritic-acid,20,0.03,[''],
peg-12-allyl-ether,20,0.03,[''],
dimethyl-capramide,20,0.03,['solvent'],solvent
decyl-isostearate,20,0.03,['emollient'],emollient
sorbeth-30-tetraisostearate,20,0.03,"['emulsifying', 'surfactant/cleansing']",emulsifying
ethyl-perfluorobutyl-ether,20,0.03,['solvent'],solvent
mitracarpus-scaber-extract,20,0.03,[''],
lauramide-mipa,20,0.03,"['surfactant/cleansing', 'viscosity controlling']",surfactant/cleansing
butter-extract,20,0.03,['emollient'],emollient
jasminum-grandiflorum-flower-wax,20,0.03,[''],
spondias-mombin-pulp-extract,20,0.03,[''],
bis-peg-8-dimethicone,20,0.03,['surfactant/cleansing'],surfactant/cleansing
babassu-oil-glycereth-8-esters,20,0.03,"['emulsifying', 'surfactant/cleansing']",emulsifying
cocoyl-methyl-glucamide,20,0.03,"['solvent', 'surfactant/cleansing', 'viscosity controlling']",solvent
tribulus-terrestris-fruit-extract,20,0.03,[''],
cetearyl-dimethicone-vinyl-dimethicone-crosspolymer,20,0.03,"['emollient', 'viscosity controlling']",emollient
raspberry-seed-oil-palm-oil-aminopropanediol-esters,20,0.03,[''],
polyquaternium-53,20,0.03,[''],
diethylhexyl-adipate,20,0.03,"['emollient', 'solvent']",emollient
natamycin,20,0.03,"['antimicrobial/antibacterial', 'preservative']",antimicrobial/antibacterial
brachychiton-acerifolius-flower-extract,20,0.03,['antioxidant'],antioxidant
sh-oligopeptide-9,20,0.03,['moisturizer/humectant'],moisturizer/humectant
plantago-ovata-seed-extract,20,0.03,[''],
ginsenosides,20,0.03,[''],
sanicula-europaea-extract,20,0.03,['soothing'],soothing
coleus-barbatus-root-extract,20,0.03,[''],
di-c12-18-alkyl-dimonium-chloride,20,0.03,[''],
2-3-butanediol,20,0.03,"['moisturizer/humectant', 'solvent']",moisturizer/humectant
silicone-quaternium-18,20,0.03,['emollient'],emollient
tetrahydrocurcumin,20,0.03,['antioxidant'],antioxidant
zinc-acetate,20,0.03,['antimicrobial/antibacterial'],antimicrobial/antibacterial
isopropyl-stearate,20,0.03,['emollient'],emollient
rose,20,0.03,[''],
fagraea-berteroana-flower-extract,20,0.03,[''],
methylsilanol-tri-peg-8-glyceryl-cocoate,20,0.03,['emulsifying'],emulsifying
hydrolyzed-avocado-protein,20,0.03,[''],
peg-800,20,0.03,"['moisturizer/humectant', 'viscosity controlling']",moisturizer/humectant
pyracantha-fortuneana-fruit-extract,20,0.03,[''],
nuphar-luteum-root-extract,20,0.03,[''],
polyglyceryl-10-pentaisostearate,20,0.03,"['emollient', 'emulsifying']",emollient
isoquercitrin,20,0.03,['antioxidant'],antioxidant
