ingredient,count,used %,effects,main effect
ascorbic-acid,3745,4.86,"['antioxidant', 'skin brightening', 'buffering']",antioxidant
rosmarinus-officinalis-leaf-extract,3735,4.85,"['antioxidant', 'soothing', 'antimicrobial/antibacterial']",antioxidant
tetrasodium-edta,3712,4.82,['chelating'],chelating
butyl-methoxydibenzoylmethane,3708,4.82,['sunscreen'],sunscreen
cera-alba,3602,4.68,"['emollient', 'viscosity controlling', 'emulsifying', 'perfuming']",emollient
dehydroacetic-acid,3593,4.67,['preservative'],preservative
ci-19140,3522,4.57,['colorant'],colorant
bisabolol,3505,4.55,['soothing'],soothing
tromethamine,3498,4.54,['buffering'],buffering
hyaluronic-acid,3496,4.54,"['skin-identical ingredient', 'moisturizer/humectant']",skin-identical ingredient
ci-77491,3446,4.48,['colorant'],colorant
stearyl-alcohol,3425,4.45,"['emollient', 'viscosity controlling', 'emulsifying', 'surfactant/cleansing']",emollient
ascorbyl-palmitate,3420,4.44,['antioxidant'],antioxidant
propylparaben,3385,4.4,"['preservative', 'perfuming']",preservative
decyl-glucoside,3374,4.38,['surfactant/cleansing'],surfactant/cleansing
persea-gratissima-oil,3307,4.29,"['antioxidant', 'emollient']",antioxidant
paraffinum-liquidum,3282,4.26,"['emollient', 'solvent']",emollient
dipotassium-glycyrrhizate,3264,4.24,"['soothing', 'moisturizer/humectant']",soothing
hydroxyethyl-acrylate-sodium-acryloyldimethyl-taurate-copolymer,3259,4.23,['viscosity controlling'],viscosity controlling
glycine-soja-oil,3247,4.22,"['emollient', 'perfuming']",emollient
lavandula-angustifolia-oil,3240,4.21,"['antimicrobial/antibacterial', 'perfuming']",antimicrobial/antibacterial
zinc-oxide,3183,4.13,['sunscreen'],sunscreen
ammonium-acryloyldimethyltaurate-vp-copolymer,3180,4.13,['viscosity controlling'],viscosity controlling
sorbitol,3124,4.06,['moisturizer/humectant'],moisturizer/humectant
ethylhexyl-salicylate,3117,4.05,['sunscreen'],sunscreen
palmitic-acid,3085,4.01,"['skin-identical ingredient', 'emollient', 'emulsifying']",skin-identical ingredient
trehalose,3085,4.01,['moisturizer/humectant'],moisturizer/humectant
hydroxyacetophenone,3068,3.98,['antioxidant'],antioxidant
alpha-isomethyl-ionone,3065,3.98,['perfuming'],perfuming
sorbitan-olivate,3064,3.98,['emulsifying'],emulsifying
benzoic-acid,3041,3.95,['preservative'],preservative
ci-42090,3001,3.9,['colorant'],colorant
retinyl-palmitate,2997,3.89,['cell-communicating ingredient'],cell-communicating ingredient
potassium-hydroxide,2988,3.88,['buffering'],buffering
hexylene-glycol,2971,3.86,"['solvent', 'emulsifying', 'perfuming', 'surfactant/cleansing']",solvent
sodium-lactate,2961,3.85,"['buffering', 'moisturizer/humectant']",buffering
sodium-polyacrylate,2919,3.79,['viscosity controlling'],viscosity controlling
butylphenyl-methylpropional,2916,3.79,['perfuming'],perfuming
maltodextrin,2915,3.79,[''],
behenyl-alcohol,2890,3.75,"['emollient', 'viscosity controlling']",emollient
sorbic-acid,2841,3.69,['preservative'],preservative
octocrylene,2808,3.65,['sunscreen'],sunscreen
isohexadecane,2783,3.61,"['emollient', 'solvent']",emollient
octyldodecanol,2772,3.6,"['emollient', 'perfuming']",emollient
vitis-vinifera-seed-oil,2763,3.59,"['antioxidant', 'emollient']",antioxidant
coco-glucoside,2726,3.54,['surfactant/cleansing'],surfactant/cleansing
hydrolyzed-hyaluronic-acid,2702,3.51,['moisturizer/humectant'],moisturizer/humectant
glycolic-acid,2681,3.48,"['exfoliant', 'buffering']",exfoliant
polysorbate-80,2659,3.45,"['emulsifying', 'surfactant/cleansing']",emulsifying
dicaprylyl-carbonate,2656,3.45,['emollient'],emollient
